,identifier,time,returns,position,captured_returns,daily_vol,captured_returns_0_5_bps,captured_returns_1_0_bps,captured_returns_1_5_bps,captured_returns_2_0_bps,captured_returns_2_5_bps,captured_returns_3_0_bps
0,CME_SP,2013-01-02,-0.0022072108392004,0.58794725,-0.0012977235417814118,0.0102831425110776,-0.0012977235417814118,-0.0012977235417814118,-0.0012977235417814118,-0.0012977235417814118,-0.0012977235417814118,-0.0012977235417814118
1,CME_SP,2013-01-03,0.0026303570127881,-0.39380524,-0.0010358483631970827,0.0101324678105822,-0.0010812237145861373,-0.0011265990659751917,-0.0011719744173642464,-0.001217349768753301,-0.0012627251201423556,-0.0013081004715314102
2,CME_SP,2013-01-04,-0.0012352574739096,-0.42921063,0.0005301856423434815,0.0099705460937099,0.000528209748654571,0.0005262338549656606,0.0005242579612767501,0.0005222820675878396,0.0005203061738989291,0.0005183302802100187
3,CME_SP,2013-01-07,-0.0023146345264551,-0.34196892,0.0007915330780187093,0.0098146516745004,0.0007876565032990663,0.0007837799285794233,0.0007799033538597803,0.0007760267791401373,0.0007721502044204943,0.0007682736297008512
4,CME_SP,2013-01-08,0.0023546312138787,-0.3387979,-0.0007977441037091802,0.0096711874000978,-0.0007978333885849619,-0.0007979226734607437,-0.0007980119583365254,-0.0007981012432123071,-0.0007981905280880888,-0.0007982798129638706
5,CME_SP,2013-01-09,0.0077078995541496,-0.39972243,-0.003081020317856961,0.0095155012493013,-0.0030843160849168584,-0.0030876118519767557,-0.0030909076190366535,-0.003094203386096551,-0.003097499153156448,-0.0031007949202163454
6,CME_SP,2013-01-10,6.823324056742406e-05,-0.4790355,-3.2686144287467016e-05,0.0094392018680698,-3.681638800756084e-05,-4.094663172765466e-05,-4.507687544774849e-05,-4.9207119167842306e-05,-5.333736288793614e-05,-5.746760660802996e-05
7,CME_SP,2013-01-11,-0.0020114721359678,-0.33489028,0.0006736224591700249,0.0092850799447651,0.0006666858624227521,0.0006597492656754792,0.0006528126689282063,0.0006458760721809335,0.0006389394754336606,0.0006320028786863878
8,CME_SP,2013-01-14,0.0006348519225668,-0.32012922,-0.00020323464806793973,0.0091481019644897,-0.00020374183507750147,-0.00020424902208706323,-0.00020475620909662497,-0.00020526339610618674,-0.00020577058311574848,-0.00020627777012531025
9,CME_SP,2013-01-15,0.0002867149379322,-0.27734917,-7.952015121545807e-05,0.0089971249021812,-8.148917413636629e-05,-8.34581970572745e-05,-8.542721997818272e-05,-8.739624289909094e-05,-8.936526581999915e-05,-9.133428874090737e-05
10,CME_SP,2013-01-16,0.007358489039874,-0.16280301,-0.0011979841585065332,0.008849286559993,-0.0012038563649742296,-0.0012097285714419259,-0.001215600777909622,-0.0012214729843773183,-0.0012273451908450146,-0.001233217397312711
11,CME_SP,2013-01-17,0.0023368498272015,-0.22890323,-0.0005349124828303889,0.0087682330719162,-0.0005385544856104282,-0.0005421964883904676,-0.0005458384911705069,-0.0005494804939505462,-0.0005531224967305857,-0.000556764499510625
12,CME_SP,2013-01-18,0.0077780203058983,-0.20519705,-0.0015960268306911749,0.0086252641876416,-0.0015971209134633666,-0.0015982149962355582,-0.00159930907900775,-0.0016004031617799417,-0.0016014972445521332,-0.001602591327324325
13,CME_SP,2013-01-22,0.0006678815261531,-0.391338,-0.000261367414511013,0.0085491456811357,-0.0002717542867990113,-0.0002821411590870096,-0.0002925280313750079,-0.00030291490366300623,-0.00031330177595100456,-0.0003236886482390029
14,CME_SP,2013-01-23,0.0011310106726765,-0.30086604,-0.0003402826995796245,0.008408951413277,-0.00034500529084519575,-0.000349727882110767,-0.00035445047337633826,-0.00035917306464190957,-0.0003638956559074808,-0.00036861824717305207
15,CME_SP,2013-01-24,0.0029869665197235,-0.49814656,-0.001487947107891479,0.0082701738322114,-0.0014995009396236274,-0.0015110547713557759,-0.0015226086030879242,-0.0015341624348200727,-0.001545716266552221,-0.0015572700982843695
16,CME_SP,2013-01-25,0.0010869892176425,-0.55393827,-0.0006021249263112375,0.0081367185610587,-0.0006058312090868818,-0.0006095374918625264,-0.0006132437746381707,-0.0006169500574138152,-0.0006206563401894596,-0.0006243626229651041
17,CME_SP,2013-01-28,0.0063095539285865,-0.26788488,-0.001690234098933151,0.0080026073495047,-0.0017065830147750128,-0.0017229319306168744,-0.0017392808464587362,-0.0017556297623005977,-0.0017719786781424595,-0.001788327593984321
18,CME_SP,2013-01-29,-0.0077852642576535,0.09591485,-0.000746722439071293,0.0079027519401351,-0.0007682718909707851,-0.000789821342870277,-0.000811370794769769,-0.0008329202466692611,-0.000854469698568753,-0.0008760191504682451
19,CME_SP,2013-01-30,-0.0015990144923775,0.465244,-0.000743931890799885,0.0079038784187294,-0.0007660077825864887,-0.0007880836743730926,-0.0008101595661596963,-0.0008322354579463002,-0.000854311349732904,-0.0008763872415195077
20,CME_SP,2013-01-31,0.0108889276076574,0.16669938,0.0018151774776045825,0.0077868823197596,0.0017974816397030905,0.0017797858018015987,0.0017620899639001068,0.001744394125998615,0.001726698288097123,0.001709002450195631
21,CME_SP,2013-02-01,-0.0107125864716746,0.28068167,-0.0030068266578045237,0.007786127314821,-0.0030137439867889077,-0.003020661315773291,-0.003027578644757675,-0.003034495973742059,-0.003041413302726443,-0.0030483306317108266
22,CME_SP,2013-02-04,0.0100436663430274,0.425568,0.004274263142730711,0.0078746738959572,0.004265761929409813,0.0042572607160889136,0.004248759502768015,0.004240258289447116,0.004231757076126217,0.004223255862805318
