,identifier,time,returns,position,captured_returns,daily_vol,captured_returns_0_5_bps,captured_returns_1_0_bps,captured_returns_1_5_bps,captured_returns_2_0_bps,captured_returns_2_5_bps,captured_returns_3_0_bps
0,CME_SP,2014-01-02,-0.0009139119084402,-0.14914353,0.0001363040498871717,0.0062263837531112,0.0001363040498871717,0.0001363040498871717,0.0001363040498871717,0.0001363040498871717,0.0001363040498871717,0.0001363040498871717
1,CME_SP,2014-01-03,-0.0040530164610972,0.051641915,-0.0002093055315513373,0.0061301629810577,-0.00022460256114186416,-0.00023989959073239102,-0.0002551966203229179,-0.0002704936499134447,-0.0002857906795039716,-0.0003010877090944984
2,CME_SP,2014-01-06,0.0085600610946054,-0.4158291,-0.0035595224346956474,0.0060628347634855,-0.0035959066232567776,-0.003632290811817908,-0.0036686750003790385,-0.0037050591889401688,-0.003741443377501299,-0.0037778275660624292
3,CME_SP,2014-01-07,0.0015429749679285,-0.56258124,-0.0008680487724910164,0.0060212607096739,-0.0008797873532858869,-0.0008915259340807574,-0.0009032645148756279,-0.0009150030956704984,-0.0009267416764653689,-0.0009384802572602394
4,CME_SP,2014-01-08,0.0004353800073414,-0.40914413,-0.0001781331757726412,0.0059217289827326,-0.00018963296458220753,-0.00020113275339177385,-0.00021263254220134017,-0.0002241323310109065,-0.00023563211982047282,-0.00024713190863003915
5,CME_SP,2014-01-09,0.0041592430457642,-0.3665193,-0.0015244428585214915,0.0058252166543236,-0.0015273591264283808,-0.0015302753943352702,-0.0015331916622421595,-0.0015361079301490488,-0.0015390241980559384,-0.0015419404659628277
6,CME_SP,2014-01-10,-0.0202581327372893,-0.464979,0.009419606159009273,0.0057362147255565,0.00941103542653849,0.009402464694067707,0.009393893961596924,0.009385323229126143,0.00937675249665536,0.009368181764184576
7,CME_SP,2014-01-13,0.0151250355417729,0.17835021,0.0026975532680036845,0.0061265224648751,0.002645502164657157,0.0025934510613106294,0.002541399957964102,0.0024893488546175744,0.002437297751271047,0.0023852466479245193
8,CME_SP,2014-01-14,0.0071768840443536,-0.50171673,-0.0036007628157009148,0.0062493599609105,-0.0036524466540228946,-0.003704130492344875,-0.0037558143306668547,-0.0038074981689888345,-0.0038591820073108143,-0.003910865845632794
9,CME_SP,2014-01-15,-0.0044795021125837,-0.48284906,0.002162923390999504,0.0061852847294037,0.0021618751373513765,0.002160826883703249,0.0021597786300551216,0.0021587303764069943,0.002157682122758867,0.0021566338691107394
10,CME_SP,2014-01-16,-0.0015966001079919,-0.49011847,0.000782523208147188,0.0061239051039771,0.0007815927107030733,0.0007806622132589588,0.0007797317158148441,0.0007788012183707295,0.0007778707209266149,0.0007769402234825002
11,CME_SP,2014-01-17,0.0035011795199582,-0.4893267,-0.0017132205704264568,0.0060323995643655,-0.0017137321330116984,-0.0017142436955969401,-0.0017147552581821817,-0.0017152668207674234,-0.001715778383352665,-0.0017162899459379067
12,CME_SP,2014-01-21,0.0001731113640336,-0.43470803,-7.525289986204464e-05,0.0059382078472896,-7.899057628186236e-05,-8.272825270168008e-05,-8.64659291214978e-05,-9.020360554131551e-05,-9.394128196113323e-05,-9.767895838095096e-05
13,CME_SP,2014-01-22,-0.01266879039013,-0.49966314,0.006330127641444076,0.0058415900294052,0.006324302164298147,0.006318476687152217,0.0063126512100062865,0.006306825732860357,0.006301000255714427,0.006295174778568498
14,CME_SP,2014-01-23,-0.0366387292216476,-0.2393877,0.008770861336272208,0.0059519631116717,0.008749451770347933,0.00872804220442366,0.008706632638499386,0.008685223072575113,0.008663813506650839,0.008642403940726566
15,CME_SP,2014-01-24,-0.004693868556258,0.4150385,-0.0019481361472120536,0.0072294951163869,-0.0019942615239953326,-0.0020403869007786114,-0.00208651227756189,-0.0021326376543451694,-0.002178763031128448,-0.002224888407911727
16,CME_SP,2014-01-27,0.0093963853276704,0.5211867,0.004897271149220484,0.0071356102560639,0.004889886107103587,0.0048825010649866905,0.004875116022869793,0.004867730980752897,0.004860345938636,0.004852960896519104
17,CME_SP,2014-01-28,-0.0126484214851369,-0.44877952,0.005676352565516125,0.0071434892133979,0.005612162940757213,0.0055479733159983,0.005483783691239388,0.005419594066480475,0.005355404441721562,0.00529121481696265
18,CME_SP,2014-01-29,0.0073805830682985,-0.1317159,-0.0009721400952032686,0.0072282424716372,-0.0009932121737955906,-0.0010142842523879127,-0.0010353563309802346,-0.0010564284095725567,-0.0010775004881648786,-0.0010985725667572008
19,CME_SP,2014-01-30,-0.0033933465944685,-0.22746877,0.0007718803886596755,0.0071913083912567,0.0007655453853276832,0.000759210381995691,0.0007528753786636987,0.0007465403753317064,0.0007402053719997142,0.000733870368667722
20,CME_SP,2014-01-31,-0.0328788842659917,-0.45667985,0.015015123961613511,0.0070853020621697,0.014999616331614606,0.0149841087016157,0.014968601071616796,0.01495309344161789,0.014937585811618984,0.014922078181620078
21,CME_SP,2014-02-03,0.0072235003151625,0.60209215,0.004349212812697407,0.0082285128417387,0.004284190649815362,0.004219168486933318,0.004154146324051274,0.004089124161169229,0.004024101998287184,0.00395907983540514
22,CME_SP,2014-02-04,0.000198253637445,0.8483616,0.00016819077532206488,0.0082001030768633,0.00015388198725011323,0.00013957319917816155,0.0001252644111062099,0.00011095562303425826,9.66468349623066e-05,8.233804689035493e-05
23,CME_SP,2014-02-05,0.0151796604296545,0.89445555,0.013577531550314373,0.0080666068485875,0.013574022947743167,0.013570514345171963,0.013567005742600757,0.013563497140029553,0.013559988537458347,0.013556479934887143
